"26","6","1","Packington House and Cottage","Bickersteth Road","","","RG 12/460","35
"
"26","6","295","Prince of Wales Road","Battersea Bridge Road","","Upton House, Prince of Wales Road","RG 12/420","71
"
"26","6","296","Princes Road","West Hill","","Fernside, Princes Road","RG 12/446","114
"
"26","6","297","Princes Road","West Hill","","Florys, Princes Road","RG 12/446","122-123
"
"26","6","298","Princes Road","West Hill","","Flowermead, Princes Road","RG 12/446","115
"
"26","6","299","Princes Road","West Hill","","Hollywood House, Princes Road","RG 12/446","114
"
"26","6","300","Princes Road","West Hill","","Loran House, Princes Road","RG 12/446","123
"
"26","6","301","Princes Road","West Hill","","Oak Lodge, Princes Road","RG 12/446","114
"
"26","6","302","Princes Road","West Hill","","The Camel, Princes Road","RG 12/446","114
"
"26","6","303","Princes Road","West Hill","","The Grove, Princes Road","RG 12/446","115
"
"26","6","304","Princes Road","West Hill","","Torwood, Princes Road","RG 12/446","115
"
"26","6","305","Priors Dean","West Hill","","","RG 12/445","88
"
"26","6","306","Priory Lane","Roehampton","","Clarence Lodge, House and Farm, Priory Lane","RG 12/453","138-139
"
"26","6","307","Priory Lane","Roehampton","","Mont Clare and Lodge, Priory Lane","RG 12/453","140-141
"
"26","6","308","Priory Lane","Roehampton","","Priory Cottage, Priory Lane","RG 12/453","139
"
"26","6","309","Priory Lane","Roehampton","","Richmond Park Lodge, Priory Lane","RG 12/453","140
"
"26","6","310","Priory Lane","Roehampton","","Templeton and Lodge, Priory Lane","RG 12/453","138-140
"
"26","6","311","Priory Lane","Roehampton","","The Priory Asylum, Priory Lane","RG 12/453","167-171
"
"26","6","312","Priory Lane","Roehampton","Sometimes treated as part of Clarence Lane","","RG 12/453","137-141
"
"26","6","313","Prisons","","","Officers Quarters, Heathfield Road","RG 12/451","4-6
"
"26","6","314","Prisons","","","Wandsworth, Wandsworth Common","RG 12/451","71-94
"
"26","6","315","Prospect Cottages","","","16-21 see Fishers Alley","RG 12/445","57
"
"26","6","316","Prospect Cottages","Allfarthing Lane","","1-2","RG 12/450","57
"
"26","6","317","Prospect Cottages","Point Pleasant","","1-14","RG 12/445","55-57
"
"26","6","318","Prospect Place","Roehampton High Street","","","RG 12/453","146
"
"26","6","319","Providence Cottages","Tooting Grove","","1-2","RG 12/459","99
"
"26","6","320","Providence Place","Red Lion Street","","1-7","RG 12/447","22-23
"
"26","6","321","Providence Terrace","Sefton Street","","1-26","RG 12/452","173-176
"
"26","6","322","Public House","","","48 Union Arms Public House, Union Road","RG 12/442","5
"
"26","6","323","Public House","","","Albert Public House, 38 Milford Street ","RG 12/440","98
"
"26","6","324","Public House","","","Alma Tavern Public House, York Road","RG 12/448","10
"
"26","6","325","Public House","","","Anchor Public House, 82 Hope Street ","RG 12/435","73
"
"26","6","326","Public House","","","Angle Inn Public House, Putney High Street","RG 12/453","147
"
"26","6","327","Public House","","","Arab Boy Public House, 245 Upper Richmond Road ","RG 12/453","66
"
"26","6","328","Public House","","","Bagley Arms Public House, 112 Culvert Road ","RG 12/421","66
"
"26","6","329","Public House","","","Baldface Stag Kingston Road","RG 12/453","163
"
"26","6","330","Public House","","","Balham Hotel Public House, Chesnut Grove","RG 12/455","4
"
"26","6","331","Public House","","","Bedford Hotel Bedford Hill Road","RG 12/455","118
"
"26","6","332","Public House","","","Bedford Hotel Streatham High Road","RG 12/457","5
"
"26","6","333","Public House","","","Bell Inn Public House, The Plain","RG 12/445","17
"
"26","6","334","Public House","","","Bell Public House, Mitcham Road","RG 12/460","27
"
"26","6","335","Public House","","","Bellcoffee Palace Public House, Tooting High Street","RG 12/454","51-52
"
"26","6","336","Public House","","","Birbeck Tavern Public House, 8 Birbeck Road ","RG 12/459","62
"
"26","6","337","Public House","","","Black Swan Lavender Road 174","RG 12/433","108
"
"26","6","338","Public House","","","Bollingbroke Arms Public House, 17 Chatham Road ","RG 12/437","95
"
"26","6","339","Public House","","","Bowyer Arms Public House, 68 Manor Street ","RG 12/442","113
"
"26","6","340","Public House","","","Bricklayers Arms Public House, 29 Doddington Grove ","RG 12/422","46
"
"26","6","341","Public House","","","Bricklayers Arms Public House, 12 Wandsworth High Street ","RG 12/430","39
"
"26","6","342","Public House","","","Britannia Public House, Salvador","RG 12/460","45
"
"26","6","343","Public House","","","British Flag Public House, 34 Warple Road ","RG 12/447","89
"
"26","6","344","Public House","","","British Lion Public House, 14 Putney Bridge Road ","RG 12/445","7
"
"26","6","345","Public House","","","Bucks Head Public House, 55 St Johns Road ","RG 12/436","125
"
"26","6","346","Public House","","","Bull and Star Inn Public House, 48 Putney High Street ","RG 12/452","14
"
"26","6","347","Public House","","","Bulls Head Public House, Rectory Grove 39 building","RG 12/442","84
"
"26","6","348","Public House","","","Cambridge Stores Public House, Battersea Park Road","RG 12/422","83
"
"26","6","349","Public House","","","Carpenters Arms Public House, 39 Chatham Road ","RG 12/437","96
"
"26","6","350","Public House","","","Carpenters Arms Public House, 35 Linford Street ","RG 12/426","117
"
"26","6","351","Public House","","","Cedar Tree Public House, Putney Bridge Road","RG 12/452","46
"
"26","6","352","Public House","","","Cedars Tavern Public House, 5 Lavender Hill ","RG 12/440","90
"
"26","6","353","Public House","","","Clapham High Street Railway Hotel PH","RG 12/442","47
"
"26","6","354","Public House","","","Coach and Horses Public House, Cowpers Road","RG 12/459","27
"
"26","6","355","Public House","","","Coat and Badge Public House, Coopers Arms Lane","RG 12/453","22
"
"26","6","356","Public House","","","Cock Tavern Public House, 32 The Pavement ","RG 12/442","90
"
"26","6","357","Public House","","","Collingwood Arms Public House, 7 Plough Road ","RG 12/433","108
"
"26","6","358","Public House","","","Commercial Public House, 243 Battersea Park Road ","RG 12/423","64
"
"26","6","359","Public House","","","Coopers Arms Inn Public House, 64 Putney High Street ","RG 12/452","14
"
"26","6","360","Public House","","","County Arms Public House, 345 Trinity Road","RG 12/451","8
"
"26","6","361","Public House","","","Cowpers Road Public House, Cowpers Road","RG 12/459","25
"
"26","6","362","Public House","","","Crane Inn Public House, The Plain","RG 12/445","16
"
"26","6","363","Public House","","","Cricketers Inn Public House, Lower Richmond Road","RG 12/452","147
"
"26","6","364","Public House","","","Crown and Anchor Public House, 68 Wirtemberg Street ","RG 12/442","155
"
"26","6","365","Public House","","","Crown and Sceptre Public House, Brixton Hill","RG 12/458","152
"
"26","6","366","Public House","","","Devonshire Arms Public House, 65 St Johns Hill Grove ","RG 12/436","12
"
"26","6","367","Public House","","","Drayton Arms Public House, 61 Glycena Road ","RG 12/427","144
"
"26","6","368","Public House","","","Duke of Cambridge Public House, 216 Bridge Road ","RG 12/430","118
"
"26","6","369","Public House","","","Duke of Devonshire Public House, Balham High Road","RG 12/456","29
"
"26","6","370","Public House","","","Duke of Westminster Public House, 113 York Road ","RG 12/431","122
"
"26","6","371","Public House","","","Dukes Head Public House, Lower Richmond Road","RG 12/452","145
"
"26","6","372","Public House","","","Eagle Arms Public House, Chatham Road 104,106","RG 12/437","108
"
"26","6","373","Public House","","","Eagle Tavern Public House, 231 Battersea Park Road ","RG 12/423","63
"
"26","6","374","Public House","","","Earl Ferrers Public House, 22 Ellora Road ","RG 12/456","129
"
"26","6","375","Public House","","","Earl Spencer Public House, Merton Road","RG 12/446","84
"
"26","6","376","Public House","","","Earl Spencer Public House, Park Road","RG 12/453","159
"
"26","6","377","Public House","","","East Hill Hotel Public House, 21 Alma Road ","RG 12/448","6
"
"26","6","378","Public House","","","Essex Arms Public House, 69 Plough Road ","RG 12/433","111
"
"26","6","379","Public House","","","Falcon Arms Public House, 13 Falcon Terrace ","RG 12/433","62
"
"26","6","380","Public House","","","Falcon Inn Public House, Falcon Road","RG 12/434","133
"
"26","6","381","Public House","","","Fishermans Tavern Public House, Queens Road","RG 12/424","98
"
"26","6","382","Public House","","","Fishmongers Arms Public House, 225 St Johns Hill ","RG 12/436","48
"
"26","6","383","Public House","","","Foresters Arms Public House, 47 Wandsworth High Street ","RG 12/430","35
"
"26","6","384","Public House","","","Fountain Tavern Public House, Garratt Lane","RG 12/459","81
"
"26","6","385","Public House","","","Freemans Hotel Public House, 2 Wandsworth Common ","RG 12/436","105
"
"26","6","386","Public House","","","Gardeners Arms Public House, 109 Chatham Road ","RG 12/437","99
"
"26","6","387","Public House","","","Gardeners Arms Public House, Merton Road","RG 12/446","84
"
"26","6","388","Public House","","","George and Dragon Public House, 14 West Hill","RG 12/445","87
"
"26","6","389","Public House","","","George and Dragon Public House, 31 Chatham Road","RG 12/437","96
"
"26","6","390","Public House","","","Green Man Public House, Putney Hill","RG 12/453","127
"
"26","6","391","Public House","","","Greyhound Lane Railway Hotel PH","RG 12/457","87
"
"26","6","392","Public House","","","Greyhound PH, The, Greyhound Lane","RG 12/457","121
"
"26","6","393","Public House","","","Grosvenor Arms Public House, 4 Grosvenor Terrace","RG 12/448","112
"
"26","6","394","Public House","","","Grove Hotel Public House, Oldridge Road","RG 12/444","98
"
"26","6","395","Public House","","","Halfmoon Hotel Public House, Lower Richmond Road","RG 12/452","144
"
"26","6","396","Public House","","","Halfway House Public House, 393 Battersea Park Road ","RG 12/422","83
"
"26","6","397","Public House","","","Halyway Public House, Dunts Hill","RG 12/449","79
"
"26","6","398","Public House","","","Hand in Hand Public House, New Park Road","RG 12/458","121
"
"26","6","399","Public House","","","Hatchmere Tavern Public House, 503 Battersea Park Road ","RG 12/431","71
"
"26","6","400","Public House","","","Hero of Magdala Currie Street Public House, 9 ","RG 12/425","113
"
"26","6","401","Public House","","","Hop Pole Public House, 64 Putney Bridge Road ","RG 12/445","41
"
"26","6","402","Public House","","","Hope Tavern Public House, 1 Bellevue Road ","RG 12/439","6
"
"26","6","403","Public House","","","Horse and Groom Public House, Mitcham Road","RG 12/460","43
"
"26","6","404","Public House","","","Horse and Groom Public House, South Street","RG 12/450","44
"
"26","6","405","Public House","","","Horse and Groom Public House, Streatham High Road","RG 12/457","71
"
"26","6","406","Public House","","","Ironmill Public House, 2 Borridaile Road ","RG 12/450","29
"
"26","6","407","Public House","","","Ivy Todd Public House, 49 Alma Road ","RG 12/448","7
"
"26","6","408","Public House","","","Jolly Gardeners Public House, 27 York Road ","RG 12/431","119
"
"26","6","409","Public House","","","Kings Head Public House, Clapham Park Road","RG 12/443","104
"
"26","6","410","Public House","","","Kings Head Public House, Putney High Street","RG 12/453","147-148
"
"26","6","411","Public House","","","Kings Head Public House, Tooting High Street","RG 12/454","53
"
"26","6","412","Public House","","","Kings Head Public House, 104 Wandsworth High Street ","RG 12/445","4
"
"26","6","413","Public House","","","Leather Bottle Public House, Garratt Lane","RG 12/449","32-33
"
"26","6","414","Public House","","","Leigham Arms Public House, 1 Wellfield Road ","RG 12/457","25
"
"26","6","415","Public House","","","Lombard Road","RG 12/430","78
"
"26","6","416","Public House","","","Lord Nelson Inn Public House, 5 The Plain ","RG 12/445","20
"
"26","6","417","Public House","","","Lord Palmerston Public House, Merton Road","RG 12/446","54
"
"26","6","418","Public House","","","Lord Raglan Public House, 392 Wandsworth Road ","RG 12/441","32
"
"26","6","419","Public House","","","Lord Westbury Public House, 413 Wandsworth Road ","RG 12/440","171
"
"26","6","420","Public House","","","Manor Arms Public House, Mitcham Lane","RG 12/456","102
"
"26","6","421","Public House","","","Masons Arms Public House, 169 Battersea Park Road ","RG 12/423","60
"
"26","6","422","Public House","","","Mitre Public House, Mitcham Road","RG 12/460","26
"
"26","6","423","Public House","","","Montrose Arms Public House, Medfield Street","RG 12/453","156
"
"26","6","424","Public House","","","Nags Head Public House, 645 Wandsworth Road ","RG 12/440","60
"
"26","6","425","Public House","","","Napier Arms Public House, 126 St Johns Hill ","RG 12/436","6
"
"26","6","426","Public House","","","Nelson Public House, 600 Wandsworth Road ","RG 12/440","104
"
"26","6","427","Public House","","","Northcote Hotel Public House, 2 Northcote Road ","RG 12/436","118
"
"26","6","428","Public House","","","Northumberland Arms Public House, Upper Richmond Road","RG 12/453","70
"
"26","6","429","Public House","","","Old Bull Public House, 78 Wandsworth High Street ","RG 12/445","4
"
"26","6","430","Public House","","","Old Farmhouse Public House, 40 Doddington Grove ","RG 12/422","48
"
"26","6","431","Public House","","","Old House at Home Public House, Dunts Hill","RG 12/449","79
"
"26","6","432","Public House","","","Old House at Home Public House, 46 Point Pleasant ","RG 12/445","44
"
"26","6","433","Public House","","","Old Sergeant Public House, South Street","RG 12/448","111
"
"26","6","434","Public House","","","Original Woodman Public House, 36 Wandsworth High Street","RG 12/430","41
"
"26","6","435","Public House","","","Oxford Arms Public House, Besley Street","RG 12/457","135
"
"26","6","436","Public House","","","Oxford Arms Public House, 65 Park Road ","RG 12/443","63
"
"26","6","437","Public House","","","Park Tavern Public House, Merton Road","RG 12/446","35
"
"26","6","438","Public House","","","Park Town Hotel Public House, 201 Battersea Park Road ","RG 12/423","62
"
"26","6","439","Public House","","","Pied Bull Public House, Streatham Common","RG 12/457","100
"
"26","6","440","Public House","","","Plough Tavern Public House, 89 St Johns Hill ","RG 12/436","44
"
"26","6","441","Public House","","","Portland Arms Public House, 256 Wandsworth Road ","RG 12/441","63
"
"26","6","442","Public House","","","Prince Albert Public House, 36 Frogmore ","RG 12/445","14
"
"26","6","443","Public House","","","Prince Albert Public House, Park Road","RG 12/420","21
"
"26","6","444","Public House","","","Prince of Wales Public House, 54 Bridge Road West ","RG 12/429","11
"
"26","6","445","Public House","","","Prince of Wales Public House, Cavendish Road","RG 12/456","38
"
"26","6","446","Public House","","","Prince of Wales Public House, Garratt Lane","RG 12/449","38
"
"26","6","447","Public House","","","Prince of Wales Public House, Lydden Road","RG 12/448","126
"
"26","6","448","Public House","","","Prince of Wales Public House, York Road","RG 12/447","75
"
"26","6","449","Public House","","","Princes Head Inn Public House, 1 York Road ","RG 12/431","118
"
"26","6","450","Public House","","","Prodigals Return Public House, 74 Bridge Road ","RG 12/429","8
"
"26","6","451","Public House","","","Putney High Street Railway Hotel PH","RG 12/452","10
"
"26","6","452","Public House","","","Queens Head Public House, Putney Bridge Road","RG 12/452","45
"
"26","6","453","Public House","","","Queens Head Public House, 153 York Road ","RG 12/433","106
"
"26","6","454","Public House","","","Quill Tavern Public House, Charlwood Road","RG 12/453","43
"
"26","6","455","Public House","","","Railway Hotel Public House, 110 Battersea Rise ","RG 12/436","104
"
"26","6","456","Public House","","","Ram Inn Public House, Wandsworth High Street","RG 12/447","5
"
"26","6","457","Public House","","","Red Lion Public House, Red Lion Street","RG 12/447","14
"
"26","6","458","Public House","","","Rising Sun Public House, 90 Battersea Rise ","RG 12/436","103-104
"
"26","6","459","Public House","","","Rising Sun Public House, 1 Surrey Lane ","RG 12/429","101
"
"26","6","460","Public House","","","Rock House Public House, 153 Battersea Park Road ","RG 12/423","59
"
"26","6","461","Public House","","","Rose & Crown Public House, 38 Culvert Road ","RG 12/421","63
"
"26","6","462","Public House","","","Rose & Crown Public House, 134 Wandsworth High Street ","RG 12/445","6
"
"26","6","463","Public House","","","Rose and Shamrock Public House, York Road","RG 12/448","10
"
"26","6","464","Public House","","","Royal George Public House, 67 Hibbert Street ","RG 12/435","63
"
"26","6","465","Public House","","","Royal Oak Public House, 111 East Hill ","RG 12/450","71
"
"26","6","466","Public House","","","Royal Oak Public House, 2 Lyham Road ","RG 12/443","192
"
"26","6","467","Public House","","","Royal Oak Public House, Patmore Street","RG 12/426","82
"
"26","6","468","Public House","","","Rupert Arms Public House, 40 New Road ","RG 12/441","76
"
"26","6","469","Public House","","","Sailor Prince Public House, Garratt Lane","RG 12/449","4
"
"26","6","470","Public House","","","Selkirk Hotel Public House, 60 Selkirk Road ","RG 12/454","28
"
"26","6","471","Public House","","","Shaftsbury Arms Hotel St Andrews Street 74","RG 12/423","136
"
"26","6","472","Public House","","","Spencer Arms Public House, Lower Richmond Road","RG 12/452","161-162
"
"26","6","473","Public House","","","Spotted Horse Public House, Putney High Street","RG 12/452","12
"
"26","6","474","Public House","","","Star and Garter Hotel Public House, Windsor Street","RG 12/452","126-127
"
"26","6","475","Public House","","","Steam Packet Public House, Everett Street","RG 12/425","119
"
"26","6","476","Public House","","","Streatham Park Tavern Public House, Mitcham Lane","RG 12/456","65
"
"26","6","477","Public House","","","Surrey Hounds Public House, 90 St Johns Hill ","RG 12/436","4-5
"
"26","6","478","Public House","","","Surrey Tavern Public House, 51 Orkney Street ","RG 12/421","121
"
"26","6","479","Public House","","","Surrey Tavern Public House, Trinity Road","RG 12/450","124
"
"26","6","480","Public House","","","Telegraph Arms Public House, Putney Hill","RG 12/453","124
"
"26","6","481","Public House","","","The Albion Public House, 94 Stewarts Road ","RG 12/426","125
"
"26","6","482","Public House","","","The Angel Public House, Tooting High Street","RG 12/460","7
"
"26","6","483","Public House","","","The Bell Public House, Wandsworth Road 274, 276 ","RG 12/441","62
"
"26","6","484","Public House","","","The Castle Public House, Putney Bridge Road","RG 12/452","45
"
"26","6","485","Public House","","","The Castle Public House, Tooting High Street","RG 12/459","119
"
"26","6","486","Public House","","","The Castle Public House, 115 Wandsworth High Street ","RG 12/430","38
"
"26","6","487","Public House","","","The Clarence Public House, 35 Surrey Lane ","RG 12/429","102
"
"26","6","488","Public House","","","The Clarence Public House, 74 Winstanley Road ","RG 12/434","45
"
"26","6","489","Public House","","","The Craven Public House, 45 Lavender Hill ","RG 12/439","24
"
"26","6","490","Public House","","","The Cricketers Public House, 317 Battersea Park Road ","RG 12/422","80
"
"26","6","491","Public House","","","The Crown Public House, 73 Alma Road ","RG 12/448","9
"
"26","6","492","Public House","","","The Crown Public House, 401 Battersea Park Road ","RG 12/422","83
"
"26","6","493","Public House","","","The Crown Public House, 30 Currie Street ","RG 12/425","116
"
"26","6","494","Public House","","","The Dewdrop Public House, 58 Stewarts Road ","RG 12/426","123
"
"26","6","495","Public House","","","The Falcon Public House, 96 Culvert Road ","RG 12/421","66
"
"26","6","496","Public House","","","The Foresters Public House, Allfarthing Lane","RG 12/450","57
"
"26","6","497","Public House","","","The George Public House, Balham Road","RG 12/455","123
"
"26","6","498","Public House","","","The Havelock Public House, 315 Battersea Park Road ","RG 12/422","80
"
"26","6","499","Public House","","","The Lacemaker Public House, 37 New Road ","RG 12/427","109
"
"26","6","500","Public House","","","The Lord Raneleigh Public House, 53 Verona Street ","RG 12/431","144
"
"26","6","501","Public House","","","The Queen Victoria Public House, Tooting Grove","RG 12/459","93
"
"26","6","502","Public House","","","The Raven Public House, 140 Bridge Road West ","RG 12/429","15
"
"26","6","503","Public House","","","The Ship Public House, 41 Jews Row ","RG 12/447","103
"
"26","6","504","Public House","","","The Stag Public House, 96 Bridge Road West ","RG 12/429","13
"
"26","6","505","Public House","","","The Trafalgar Public House, Merton Road","RG 12/459","93
"
"26","6","506","Public House","","","The Volunteer Public House, 1 The Plain ","RG 12/445","21
"
"26","6","507","Public House","","","The Windmill Public House, Windmill Place","RG 12/444","63
"
"26","6","508","Public House","","","The Woodman Public House, 50 Wandsworth High Street ","RG 12/430","41
"
"26","6","509","Public House","","","Tooting Tavern Public House, Therton Road","RG 12/459","87
"
"26","6","510","Public House","","","True Briton Public House, 42 Stewarts Road ","RG 12/426","122
"
"26","6","511","Public House","","","Turks Head Public House, 63 South Street ","RG 12/450","47
"
"26","6","512","Public House","","","Two Brothers Public House, 90 New Road ","RG 12/427","108
"
"26","6","513","Public House","","","Victoria Public House, 642 Wandsworth Road ","RG 12/440","107
"
"26","6","514","Public House","","","Wandsworth Road 354","RG 12/441","30
"
"26","6","515","Public House","","","Watermans Arms Public House, Waterside","RG 12/447","94
"
"26","6","516","Public House","","","Waterside Public House, Waterside","RG 12/447","94
"
"26","6","517","Public House","","","Wheatsheaf Inn Public House, 30 Putney Bridge Road ","RG 12/445","8
"
"26","6","518","Public House","","","White Lion Hotel Public House, Putney High Street","RG 12/452","16
"
"26","6","519","Public House","","","White Lion Public House, Streatham High Road","RG 12/457","74
"
"26","6","520","Public House","","","White Lion Public House, 99 Summerstown ","RG 12/449","69
"
"26","6","521","Public House","","","White Swan Public House, Nine Elms Lane","RG 12/425","89
"
"26","6","522","Public House","","","White Swan Public House, 130 Wandsworth High Street ","RG 12/445","6
"
"26","6","523","Public House","","","William IV Public House, Streatham High Road","RG 12/458","37
"
"26","6","524","Public House","","","Winstanley Arms Public House, 26 Winstanley Road ","RG 12/434","47
"
"26","6","525","Public House","","","Wirtemberg Arms Public House, 131 Wirtemberg Street ","RG 12/442","154
"
"26","6","526","Public House","","","Ye Old House Public House, 45 Plough Road ","RG 12/433","110
"
"26","6","527","Putney Bridge Parade","Putney High Street","","1-11","RG 12/452","15-16
"
"26","6","528","Putney Bridge Road","Wandsworth High Street to Putney High Street","","1-3","RG 12/452","50
"
"26","6","529","Putney Bridge Road","Wandsworth High Street to Putney High Street","","1-37 odd mixed","RG 12/445","50-52
"
"26","6","530","Putney Bridge Road","Wandsworth High Street to Putney High Street","","1-4, 15","RG 12/452","49
"
"26","6","531","Putney Bridge Road","Wandsworth High Street to Putney High Street","","102-110 even","RG 12/445","52
"
"26","6","532","Putney Bridge Road","Wandsworth High Street to Putney High Street","","2-50 even","RG 12/445","6-9
"
"26","6","533","Putney Bridge Road","Wandsworth High Street to Putney High Street","","52-96 even","RG 12/445","40-42
"
"26","6","534","Putney Bridge Road","Wandsworth High Street to Putney High Street","","98, 100","RG 12/445","51
"
"26","6","535","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Aberdeen House, Putney Bridge Road","RG 12/445","51
"
"26","6","536","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Alfred Villa, Putney Bridge Road","RG 12/452","45
"
"26","6","537","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Banbury Villa, Putney Bridge Road","RG 12/452","45
"
"26","6","538","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Bath Buildings, Putney Bridge Road, 1-4","RG 12/452","49
"
"26","6","539","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Blythe Cottage, Putney Bridge Road","RG 12/452","46
"
"26","6","540","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Brewhouse Lane","RG 12/452","51-52
"
"26","6","541","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Cedar Cottages, Putney Bridge Road, 1-5","RG 12/452","46-47
"
"26","6","542","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Cedar Dale","RG 12/452","46
"
"26","6","543","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Cedar Lodge, Putney Bridge Road","RG 12/452","45
"
"26","6","544","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Cedar Tree Public House, Putney Bridge Road","RG 12/452","46-48
"
"26","6","545","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Cedar Villas, Putney Bridge Road, 1-8","RG 12/452","46
"
"26","6","546","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Chaundry Villas, Putney Bridge Road","RG 12/452","50-52
"
"26","6","547","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Crest House, Putney Bridge Road","RG 12/452","45
"
"26","6","548","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Crewe Villa, Putney Bridge Road","RG 12/452","45
"
"26","6","549","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Cromwell House, Putney Bridge Road","RG 12/452","49
"
"26","6","550","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Diss Villa, Putney Bridge Road","RG 12/452","45
"
"26","6","551","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Finboro Lodge, Putney Bridge Road","RG 12/452","47
"
"26","6","552","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Laundry, Putney Bridge Road","RG 12/445","51
"
"26","6","553","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Laurel Cottages, Putney Bridge Road","RG 12/445","67
"
"26","6","554","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Mouliniers Terrace & House, Putney Bridge Road","RG 12/445","59
"
"26","6","555","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Oakvilie, Putney Bridge Road","RG 12/452","45
"
"26","6","556","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Oxford Terrace, Putney Bridge Road, 1-12","RG 12/452","47-48
"
"26","6","557","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Park Lodge & Almshouses, Putney Bridge Road","RG 12/452","48-49
"
"26","6","558","Putney Bridge Road","Wandsworth High Street to Putney High Street","","Queens Head, The Castle, Putney Bridge Road","RG 12/452","45
"
"26","6","559","Putney Bridge Road","Wandsworth High Street to Putney High Street","","The Cedars, Putney Bridge Road","RG 12/452","50-52
"
"26","6","560","Putney Bridge Road","Wandsworth High Street to Putney High Street","Formerly Love Lane and Wandsworth Lane","1-5","RG 12/452","45, 47, 49
"
"26","6","561","Putney Embankment","Lower Richmond Road,","see Riverside","","RG 12/452","144
"
"26","6","562","Putney Heath","Putney Hill","","Ashburton House, Lodge and Cottage, Putney Heath","RG 12/453","125-126
"
"26","6","563","Putney Heath","Putney Hill","","Bowling Green House & Lodge, Putney Heath","RG 12/453","124-125
"
"26","6","564","Putney Heath","Putney Hill","","Bristol House, Putney Heath","RG 12/453","125
"
"26","6","565","Putney Heath","Putney Hill","","Denham Lodge, Putney Heath","RG 12/453","127
"
"26","6","566","Putney Heath","Putney Hill","","Dover House & Lodge, Putney Heath","RG 12/453","136
"
"26","6","567","Putney Heath","Putney Hill","","Dungarvan, Putney Heath","RG 12/453","123
"
"26","6","568","Putney Heath","Putney Hill","","Exeter House & Lodge, Putney Heath","RG 12/453","125
"
"26","6","569","Putney Heath","Putney Hill","","Fairhaven, Putney Heath","RG 12/453","123
"
"26","6","570","Putney Heath","Putney Hill","","Gifford House, Lodge and","RG 12/453","136
"
"26","6","571","Putney Heath","Putney Hill","","Grantham House, Putney Heath","RG 12/453","126
"
"26","6","572","Putney Heath","Putney Hill","","Gravel Pit Cottages, Putney Heath","RG 12/453","161-162
"
"26","6","573","Putney Heath","Putney Hill","","Guildford House, Putney Heath","RG 12/453","122
"
"26","6","574","Putney Heath","Putney Hill","","Heatherwood, Putney Heath","RG 12/453","123
"
"26","6","575","Putney Heath","Putney Hill","","Highlands & Lodge, Putney Heath","RG 12/453","124
"
"26","6","576","Putney Heath","Putney Hill","","Holmwood, Putney Heath","RG 12/453","127
"
"26","6","577","Putney Heath","Putney Hill","","Lavington, Putney Heath","RG 12/453","123-124
"
"26","6","578","Putney Heath","Putney Hill","","Manresa House, Jesuit College, Putney Heath","RG 12/453","172-175
"
"26","6","579","Putney Heath","Putney Hill","","North House, Putney Heath","RG 12/453","127
"
"26","6","580","Putney Heath","Putney Hill","","Reservoir Cottage, Putney Heath","RG 12/453","124
"
"26","6","581","Putney Heath","Putney Hill","","Ripon House, Putney Heath","RG 12/453","126-127
"
"26","6","582","Putney Heath","Putney Hill","","Rose Cottage, Putney Heath","RG 12/453","125
"
"26","6","583","Putney Heath","Putney Hill","","St Ronans, Putney Heath","RG 12/453","123
"
"26","6","584","Putney Heath","Putney Hill","","Scis House & Lodge, Putney Heath","RG 12/453","125
"
"26","6","585","Putney Heath","Putney Hill","","Stables, Putney, Putney Heath","","
"
"26","6","586","Putney Heath","Putney Hill","","Sylva, Putney Heath","RG 12/453","124
"
"26","6","587","Putney Heath","Putney Hill","","Telegraph Cottages, Putney Heath, 1-2","RG 12/453","124
"
"26","6","588","Putney Heath","Putney Hill","","West Gate","RG 12/453","125
"
"26","6","589","Putney Heath","Putney Hill","","Wildecroft, Putney Heath","RG 12/453","124
"
"26","6","590","Putney Heath Lane","Putney,","Formerly Cut Through Lane; See also West End of Putney Hill","Cottages, Putney Heath Lane","RG 12/453","123
"
"26","6","591","Putney High Street","","","1-129 odd","RG 12/452","4-10
"
"26","6","592","Putney High Street","","","72-108 even","RG 12/452","12-13
"
"26","6","593","Putney High Street","","","Cromwell Terrace 1-5 , Putney High Street","RG 12/452","11-12
"
